dataset,experiment,seed,metric,difference
BCDR,synthetic_only_maximum,42,F1-Score,0.0320997660100133
BCDR,synthetic_only_maximum,42,AUROC,-0.1274326297623789
BCDR,synthetic_only_maximum,42,AUPRC,-0.08528221549458759
BCDR,synthetic_only_maximum,43,accuracy,-0.058770343580470175
BCDR,synthetic_only_maximum,43,Precision,-0.09112951405219205
BCDR,synthetic_only_maximum,43,Recall,0.014516129032258074
BCDR,synthetic_only_maximum,43,F1-Score,-0.033076420752350066
BCDR,synthetic_only_maximum,43,AUROC,-0.05736426390548255
BCDR,synthetic_only_maximum,43,AUPRC,-0.05161443204687166
BCDR,synthetic_only_maximum,44,accuracy,-0.058770343580470175
BCDR,synthetic_only_maximum,44,Precision,-0.13005142088898547
BCDR,synthetic_only_maximum,44,Recall,0.18709677419354842
BCDR,synthetic_only_maximum,44,F1-Score,0.018892432504997947
BCDR,synthetic_only_maximum,44,AUROC,-0.07700119474313016
BCDR,synthetic_only_maximum,44,AUPRC,-0.02914536538291057
BCDR,synthetic_only_maximum,45,accuracy,-0.10216998191681737
BCDR,synthetic_only_maximum,45,Precision,-0.11160632632201839
BCDR,synthetic_only_maximum,45,Recall,-0.04193548387096768
BCDR,synthetic_only_maximum,45,F1-Score,-0.07614723764208298
BCDR,synthetic_only_maximum,45,AUROC,-0.12167795035178552
BCDR,synthetic_only_maximum,45,AUPRC,-0.06528386422700039
BCDR,synthetic_only_maximum,46,accuracy,-0.09855334538878835
BCDR,synthetic_only_maximum,46,Precision,-0.1655667295202179
BCDR,synthetic_only_maximum,46,Recall,0.0
BCDR,synthetic_only_maximum,46,F1-Score,-0.05960715608157219
BCDR,synthetic_only_maximum,46,AUROC,-0.15062392141245184
BCDR,synthetic_only_maximum,46,AUPRC,-0.13921951932600285
